"S1414-32832011000400014-spa","Formação do psicólogo para a saúde mental: a psicologia piauiense em análise","Macedo, João Paulo, Dimenstein, Magda","Interface - Comunicação, Saúde, Educação; 15(39); 1145-1158","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400014&lang=pt" 
"S1414-32832011000400015-spa","Sistematização de estratégias de ensinar-aprender pesquisa na graduação","Patrício, Zuleica Maria, Silvério, Maria Regina, Ribeiro, Ivete Maria, Felisbino, Janete Elza, Brodbeck, Ingrid May, Martins, Greice Wessler Medeiros, Silva, Gilmara Medeiros Vieira da, Reis, Adriana Elias dos","Interface - Comunicação, Saúde, Educação; 15(39); 1159-1172","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400015&lang=pt" 
"S1414-32832011000400016-spa","Simulação como estratégia de ensino em enfermagem: revisão de literatura","Teixeira, Ilka Nicéia D&#039;Aquino Oliveira, Felix, Jorge Vinícius Cestari","Interface - Comunicação, Saúde, Educação; 15(39); 1173-1184","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400016&lang=pt" 
"S1414-32832011000400017-spa","Responsabilidade social da educação superior: a metamorfose do discurso da UNESCO em foco","Calderón, Adolfo Ignacio, Pedro, Rodrigo Fornalski, Vargas, Maria Caroline","Interface - Comunicação, Saúde, Educação; 15(39); 1185-1198","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400017&lang=pt" 
"S1414-32832011000400019-spa","Role-playing: estratégia inovadora na capacitação docente para o processo tutorial","Francischetti, Ieda, Corrêa, Ana Carolina Lemos, Vieira, Camila Mugnai, Lazarini, Carlos Alberto, Rolin, Lilian Maria Giubbina, Soares, Márcia Oliveira Mayo","Interface - Comunicação, Saúde, Educação; 15(39); 1207-1218","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400019&lang=pt" 
"S1516-14392011000400020-scl","Characterization of Polyamide 66 membranes prepared by phase inversion using formic acid and hydrochloric acid such as solvents","Poletto, Patrícia, Duarte, Jocelei, Thürmer, Mônica Beatriz, Santos, Venina dos, Zeni, Mára","Materials Research; 14(4); 547-551","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400020&lang=pt" 
"S1516-89132011000600008-scl","A Reassessment of the in vitro total protein content determination (TPC) with SIRC and 3T3 cells for the evaluation of the ocular irritation potential of shampoos: comparison with the in vivo Draize rabbit test","Costa, Rodrigo Netto, Abreu, Clarice Lima do Canto, Presgrave, Rosaura Farias, Alves, Eloisa Nunes, Presgrave, Octavio Augusto França, Delgado, Isabella Fernandes","Brazilian Archives of Biology and Technology; 54(6); 1135-1146","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600008&lang=pt" 
"S1414-32832011000400013-scl","Assistência farmacêutica no Sistema Único de Saúde (SUS): percepções de graduandos em Farmácia","Nicoline, Claudia Benacchio, Vieira, Rita de Cássia Padula Alves","Interface - Comunicação, Saúde, Educação; 15(39); 1127-1144","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832011000400013&lang=pt" 
"S1516-14392011000400019-scl","Hydrolytic degradation of a resin composite as a function of the curing tip distance and aging","Svizero, Nádia da Rocha, Carvalho, Vanessa de Freitas, Bechtold, Janaina, Alonso, Roberta Caroline Bruschi, Atta, Maria Teresa, D&#039;Alpino, Paulo Henrique Perlatti","Materials Research; 14(4); 541-546","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400019&lang=pt" 
"S1517-45222011000300006-scl","Vidas e Política das Pessoas Pobres: as coisas que um etnógrafo político sabe (e não sabe) após 15 anos de trabalho de campo","Auyero, Javier","Sociologias; 13(28); 126-164","Sociologias","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222011000300006&lang=pt" 
"S1409-41422011000200001-cri","El Sistema de Salud Uruguayo: Un ejemplo que puede salvar a la Caja Costarricense de Seguro Social","Gutiérrez Sotelo, Oswaldo","Revista Costarricense de Cardiología; 13(2); 03-04","Revista Costarricense de Cardiología","Espanhol","2011","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-41422011000200001&lang=pt" 
"S1409-41422011000200002-cri","Accesibilidad a la medicina de alto costo: La experiencia de Uruguay","Soto, Enrique","Revista Costarricense de Cardiología; 13(2); 05-11","Revista Costarricense de Cardiología","Espanhol","2011","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-41422011000200002&lang=pt" 
"S1409-41422011000200003-cri","¿Es la Pitavastatina una estatina más o un nuevo fármaco ventajoso?","Whayne, Jr, Thomas F","Revista Costarricense de Cardiología; 13(2); 13-14","Revista Costarricense de Cardiología","Espanhol","2011","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-41422011000200003&lang=pt" 
"S1409-41422011000200004-cri","Pericarditis y Pericardiectomía: Experiencia en el Hospital R. A. Calderón Guardia, 2003-2010","Rubí Chacón, Eric, Morales Alpízar, Catalina, Arias, Adriana, Dam Arce, Christian, Salazar Vargas, Carlos","Revista Costarricense de Cardiología; 13(2); 15-19","Revista Costarricense de Cardiología","Espanhol","2011","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-41422011000200004&lang=pt" 
"S1409-41422011000200005-cri","Efecto de dos protocolos de ejercicio físico en parámetros antropométricos y fisiológicos en pacientes con enfermedad coronaria","Araya Ramírez, Felipe, Blanco Romero, Luis, Salas Cabrera, Jorge","Revista Costarricense de Cardiología; 13(2); 21-25","Revista Costarricense de Cardiología","Espanhol","2011","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-41422011000200005&lang=pt" 
"S1409-41422011000200006-cri","El Aislamiento de las Venas Pulmonares como Tratamiento de la Fibrilación Auricular Refractaria","Scazzuso, Fernando, Santiago, Rivera, Gómez, Luis A, Sammartino, Victoria, Gastón, Albina, Laiño, Rubén, Giniger, Alberto","Revista Costarricense de Cardiología; 13(2); 27-32","Revista Costarricense de Cardiología","Espanhol","2011","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-41422011000200006&lang=pt" 
"S1409-41422011000200007-cri","Ruptura miocárdica y formación de aneurisma después de un infarto agudo de miocardio silente: Reporte de un caso","Alvarado Sánchez, Eduardo, Lacayo González, Harold, Siles Varela, Marco Antonio","Revista Costarricense de Cardiología; 13(2); 33-36","Revista Costarricense de Cardiología","Espanhol","2011","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-41422011000200007&lang=pt" 
"S1409-41422011000200008-cri","Perforación cardiaca asociada a cirugía de reemplazo valvular mitral","Quirós Alpízar, José Luis, Miranda Solís, Lisa, Sevilla Acosta, Fabricio José","Revista Costarricense de Cardiología; 13(2); 37-39","Revista Costarricense de Cardiología","Espanhol","2011","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-41422011000200008&lang=pt" 
"S1409-41422011000200009-cri","","Araya Gómez, Vivien","Revista Costarricense de Cardiología; 13(2); 41-41","Revista Costarricense de Cardiología","Espanhol","2011","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-41422011000200009&lang=pt" 
"S1409-41422011000200010-cri","Dr. Longino Soto Pacheco","Salazar Vargas, Carlos","Revista Costarricense de Cardiología; 13(2); 42-42","Revista Costarricense de Cardiología","Espanhol","2011","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-41422011000200010&lang=pt" 
"S1409-41422011000200011-cri","Biografía de Costa Rica","","Revista Costarricense de Cardiología; 13(2); 43-43","Revista Costarricense de Cardiología","Espanhol","2011","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-41422011000200011&lang=pt" 
"S0034-76122011000600001-scl","Palavras da diretora","Zouain, Deborah Moraes","Revista de Administração Pública; 45(6); 1633-1635","Revista de Administração Pública","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122011000600001&lang=pt" 
