"S0188-76532011000200009-mex","¿Ilegalidad justificada?: clientelismo controlado en la administración chilena","Moriconi Bezerra, Marcelo","Perfiles latinoamericanos; 19(38); 227-247","Perfiles latinoamericanos","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-76532011000200009&lang=pt" 
"S0102-695X2011000600031-scl","Herbs of interest to the Brazilian Federal Government: female reproductive and developmental toxicity studies","Verissimo, Luiz Fernando, Bacchi, Andre D., Zaminelli, Tiago, Paula, Gustavo Henrique O. de, Moreira, Estefania G.","Revista Brasileira de Farmacognosia; 21(6); 1163-1171","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600031&lang=pt" 
"S0102-695X2011000600004-scl","Chalcones from Myracrodruon urundeuva are efficacious in guinea pig ovalbumin-induced allergic conjunctivitis","Albuquerque, Rosemary Jorge de Mendonça, Leal, L. Kalyne A. M., Bandeira, Mary Anne, Viana, Glauce Socorro de Barros, Rodrigues, Lusmar Veras","Revista Brasileira de Farmacognosia; 21(6); 953-962","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600004&lang=pt" 
"S0102-695X2011000600008-scl","Evaluation of antimalarial, free-radical-scavenging and insecticidal activities of Artemisia scoparia and A. Spicigera, Asteraceae","Afshar, Fariba H., Delazar, Abbas, Janneh, Omar, Nazemiyeh, Hossein, Pasdaran, Ardalan, Nahar, Lutfun, Sarker, Satyajit D.","Revista Brasileira de Farmacognosia; 21(6); 986-990","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600008&lang=pt" 
"S0102-695X2011000600007-scl","Anti-oxidative and anti-ulcerogenic activity of Ipomoea imperati","Miyahara, Maria Regina M., Imamura, Paulo M., Freitas, José C. De, Leonor, Sérgio J., Baffa, Oswaldo, Kinoshita, Angela, Paula-Zurron, Ana Claudia B. De","Revista Brasileira de Farmacognosia; 21(6); 978-985","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600007&lang=pt" 
"S0102-695X2011000600002-scl","Contribution for the phytochemical studies of Ageratum fastigiatum","Gonçalves, Lucas D., Almeida, Hugo R., Oliveira, Patrícia M. de, Lopes, Norberto P., Turatti, Izabel C. C., Archanjo, Fernando C., Grael, Cristiane F. F.","Revista Brasileira de Farmacognosia; 21(6); 936-942","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600002&lang=pt" 
"S0102-695X2011000600012-scl","","Dandlen, Susana A., Lima, A. Sofia, Mendes, Marta D., Miguel, M. Graça, Faleiro, M. Leonor, Sousa, M. João, Pedro, Luís G., Barroso, José G., Figueiredo, A. Cristina","Revista Brasileira de Farmacognosia; 21(6); 1012-1024","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600012&lang=pt" 
"S0102-695X2011000600013-scl","Antitumorigenicity of xanthones-rich extract from Garcinia mangostana fruit rinds on HCT 116 human colorectal carcinoma cells","Aisha, Abdalrahim F.A., Abu-Salah, Khalid M., Nassar, Zeyad D., Siddiqui, Mohammad J., Ismail, Zhari, Majid, Amin Malik Shah Abdul","Revista Brasileira de Farmacognosia; 21(6); 1025-1034","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600013&lang=pt" 
"S0102-695X2011000600003-scl","Composition, antioxidant and chemotherapeutic properties of the essential oils from two Origanum species growing in Pakistan","Hussain, Abdullah I., Anwar, Farooq, Rasheed, Shazia, Nigam, Poonam S., Janneh, Omar, Sarker, Satyajit D.","Revista Brasileira de Farmacognosia; 21(6); 943-952","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600003&lang=pt" 
"S0102-695X2011000600026-scl","p-Cymene reduces orofacial nociceptive response in mice","Santana, Michele F., Quintans-Júnior, Lucindo J., Cavalcanti, Sócrates C. H., Oliveira, Makson G. B., Guimarães, Adriana G., Cunha, Edisleide S., Melo, Mônica S., Santos, Márcio R. V., Araújo, Adriano A. S., Bonjardim, Leonardo R.","Revista Brasileira de Farmacognosia; 21(6); 1138-1143","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600026&lang=pt" 
"S0102-695X2011000600022-scl","Evaluation of effects of dichloromethane fraction from Platonia insignis on pilocarpine-induced seizures","Costa Júnior, Joaquim S. da, Ferraz, Alexandre de B. F., Feitosa, Chistiane Mendes, Citó, Antonia Maria das Graças Lopes, Saffi, Jenifer, Freitas, Rivelilson Mendes de","Revista Brasileira de Farmacognosia; 21(6); 1104-1110","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600022&lang=pt" 
"S0102-695X2011000600017-scl","Neurobehavioral, reflexological and physical development of Wistar rat offspring exposed to ayahuasca during pregnancy and lactation","Oliveira, Carolina Dizioli Rodrigues de, Moreira, Camila Queiroz, Spinosa, Helenice de Souza, Yonamine, Mauricio","Revista Brasileira de Farmacognosia; 21(6); 1065-1076","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600017&lang=pt" 
