"S2237-93632016000200091-scl","Therapeutic itinerary of colorectal cancer patients treated in the state of Rio Grande do Sul","Foletto, Eliara Fernanda, Jackisch, Sabine Elisa, Dotto, Marcelo Luis, Severo, Cátia, Pappen, Emelin, de Moura Valim, Andreia Rosane, Renner, Jane Dagmar Pollo, Possuelo, Lia Gonçalves","Journal of Coloproctology (Rio de Janeiro); 36(2); 91-96","Journal of Coloproctology (Rio de Janeiro)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632016000200091&lang=pt" 
"S1984-29612016000200196-scl","Parasite abundance and its determinants in fishes from Brazil: an eco-epidemiological approach","Amarante, Cristina Fernandes do, Tassinari, Wagner de Souza, Luque, Jose Luis, Pereira, Maria Julia Salim","Revista Brasileira de Parasitologia Veterinária; 25(2); 196-201","Revista Brasileira de Parasitologia Veterinária","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612016000200196&lang=pt" 
"S0100-83582016000200357-scl","Sorption of Clomazone in Brazilian Soils with Different Physical and Chemical Attributes1","PEREIRA, G.A.M., BARCELLOS JR., L.H., GONÇALVES, V.A., SILVA, D.V., FARIA, A.T., SILVA, A.A.","Planta Daninha; 34(2); 357-364","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000200357&lang=pt" 
"S1984-29612016000200225-scl","Factors associated with parasite dominance in fishes from Brazil","Amarante, Cristina Fernandes do, Tassinari, Wagner de Souza, Luque, Jose Luis, Pereira, Maria Julia Salim","Revista Brasileira de Parasitologia Veterinária; 25(2); 225-230","Revista Brasileira de Parasitologia Veterinária","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612016000200225&lang=pt" 
"S1984-29612016000200254-scl","Gastrointestinal parasites of cats in Brazil: frequency and zoonotic risk","Monteiro, Maria Fernanda Melo, Ramos, Rafael Antonio Nascimento, Calado, Andréa Maria Campos, Lima, Victor Fernando Santana, Ramos, Ingrid Carla do Nascimento, Tenório, Rodrigo Ferreira Lima, Faustino, Maria Aparecida da Glória, Alves, Leucio Câmara","Revista Brasileira de Parasitologia Veterinária; 25(2); 254-257","Revista Brasileira de Parasitologia Veterinária","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612016000200254&lang=pt" 
"S0100-83582016000200259-scl","Response of Caper Plant to Drought and Different Ratios of Calcium and Sodium Chloride1","ROSTAMI, L., SADEGHI, H., HOSSEINI, S.","Planta Daninha; 34(2); 259-266","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000200259&lang=pt" 
"S1984-29612016000200235-scl","Morphological characterization of Eustrongylides sp. larvae (Nematoda, Dioctophymatoidea) parasite of Rhinella marina (Amphibia: Bufonidae) from Eastern Amazonia","Melo, Francisco Tiago de Vasconcelos, Melo, Caroline do Socorro Barros, Nascimento, Luciana de Cássia Silva do, Giese, Elane Guerreiro, Furtado, Adriano Penha, Santos, Jeannie Nascimento dos","Revista Brasileira de Parasitologia Veterinária; 25(2); 235-239","Revista Brasileira de Parasitologia Veterinária","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612016000200235&lang=pt" 
"S1984-29612016000200202-scl","Caryospora peneireiroi n. sp. (Apicomplexa: Eimeriidae) in the common kestrel, Falco tinnunculus (Falconiformes: Falconidae), in mainland Portugal","Cardozo, Sergian Vianna, Berto, Bruno Pereira, Caetano, Inês, Maniero, Viviane Camara, Fonseca, Isabel Pereira da, Lopes, Carlos Wilson Gomes","Revista Brasileira de Parasitologia Veterinária; 25(2); 202-206","Revista Brasileira de Parasitologia Veterinária","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612016000200202&lang=pt" 
"S1984-29612016000200179-scl","Parasitological assessment in the hybrid surubim (Pseudoplatystoma reticulatum x P. corruscans), with uncommon occurrence of Monogenea parasites","Jerônimo, Gabriela Tomas, Pádua, Santiago Benites de, Ventura, Arlene Sobrinho, Gonçalves, Eduardo Luis Tavares, Ishikawa, Márcia Mayumi, Martins, Maurício Laterça","Revista Brasileira de Parasitologia Veterinária; 25(2); 179-186","Revista Brasileira de Parasitologia Veterinária","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612016000200179&lang=pt" 
"S1984-29612016000200240-scl","Austrodiplostomum compactum metacercariae (Digenea: Diplostomidae) in Schizodon intermedius (Characiformes: Anostomidae) from Jurumirim reservoir, Brazil","Ramos, Igor Paiva, Franceschini, Lidiane, Zago, Aline Cristina, Zica, Érica de Oliveira Penha, Wunderlich, Alison Carlos, Lima, Felipe Pontieri de, Silva, Reinaldo José da","Revista Brasileira de Parasitologia Veterinária; 25(2); 240-243","Revista Brasileira de Parasitologia Veterinária","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612016000200240&lang=pt" 
"S0100-83582016000200219-scl","Weed Occurrence in Sugarcane as Function of Variety and Ground Straw Management1","CONCENÇO, G., LEME FILHO, J.R.A., SILVA, C.J., MARQUES, R.F., SILVA, L.B.X., CORREIA, I.V.T.","Planta Daninha; 34(2); 219-228","Planta Daninha","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582016000200219&lang=pt" 
