"S0021-75572011000500016-scl","Gravidade das coinfecções virais em lactentes hospitalizados com infecção por vírus sincicial respiratório","Bezerra, Patrícia G. M., Duarte, Maria do Carmo M. B., Britto, Murilo C. A., Correia, Jailson B.","Jornal de Pediatria; 87(5); 461-462","Jornal de Pediatria","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572011000500016&lang=pt" 
"S0004-282X2011000600011-scl","Low educational level effects on the performance of healthy adults on a Neuropsychological Protocol suggested by the Commission on Neuropsychology of the Liga Brasileira de Epilepsia","Santos, Erich Belzunces dos, Tudesco, Ivanda de Souza Silva, Caboclo, Luis Otávio S.F., Yacubian, Elza Márcia T.","Arquivos de Neuro-Psiquiatria; 69(5); 778-784","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000600011&lang=pt" 
"S0102-69092011000300013-scl","Escândalos, tsunamis e marolas: apontamentos e desapontamentos sobre um traço recorrente da atualidade","Grün, Roberto","Revista Brasileira de Ciências Sociais; 26(77); 151-174","Revista Brasileira de Ciências Sociais","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092011000300013&lang=pt" 
"S1516-89132011000500014-scl","Multicomponent complex formation between pyrimethamine, cyclodextrins and water-soluble polymers","Rodrigues, Leticia Norma Carpentieri, Issa, Michelle Georges, Asbahr, Ana Carolina Cavassin, Silva, Marco Aurélio Carvalho, Ferraz, Humberto Gomes","Brazilian Archives of Biology and Technology; 54(5); 965-972","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000500014&lang=pt" 
"S1516-89132011000500001-scl","Biochemical composition of seven species of cyanobacteria isolated from different aquatic habitats of Western Ghats, Southern India","Rajeshwari, Karanth Rama, Rajashekhar, Madaiah","Brazilian Archives of Biology and Technology; 54(5); 849-857","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000500001&lang=pt" 
"S1516-89132011000500025-scl","Structural and ecophysiological alterations of the water hyacinth [Eichhornia crassipes (Mart.) Solms] due to anthropogenic stress in Brazilian rivers","Vitória, Angela Pierre, Lage-Pinto, Frederico, Silva, Leonardo Bernardo Campaneli da, Cunha, Maura da, Oliveira, Jurandi Gonçalves de, Rezende, Carlos Eduardo, Souza, Cristina Maria Magalhães de, Azevedo, Ricardo Antunes","Brazilian Archives of Biology and Technology; 54(5); 1059-1068","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000500025&lang=pt" 
"S0104-42302011000500009-scl","Tobacco, alcohol and illegal substances: experiences and attitudes among Italian university students","Kračmarová, Lenka, Klusoňová, Hana, Petrelli, Fabio, Grappasonni, Iolanda","Revista da Associação Médica Brasileira; 57(5); 523-528","Revista da Associação Médica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000500009&lang=pt" 
"S0104-42302011000500010-scl","Ritmo circadiano em óbitos hospitalares: comparação entre unidade de tratamento intensivo e unidade de tratamento não intensivo","Rocha, Antônio Sérgio Cordeiro da, Araújo, Mônica Peres de, Campos, Augusta, Costa Filho, Rubens, Mesquita, Evandro Tinoco, Santos, Marcus Vinicius","Revista da Associação Médica Brasileira; 57(5); 529-533","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000500010&lang=pt" 
"S0104-42302011000500011-scl","Efeitos das isoflavonas em altas doses sobre o útero da rata","Carbonel, Adriana Aparecida Ferraz, Simões, Ricardo Santos, Santos, Regiane Helena Barros Rabelo, Baracat, Maria Cândida Pinheiro, Simões, Manuel de Jesus, Baracat, Edmund Chada, Soares Júnior, José Maria","Revista da Associação Médica Brasileira; 57(5); 534-539","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000500011&lang=pt" 
"S0104-42302011000500013-scl","Avaliação da dor pós-operatória e alta hospitalar com bloqueio dos nervos ilioinguinal e ílio-hipogástrico durante herniorrafia inguinal realizada com raquianestesia: estudo prospectivo","Santos, Guilherme de Castro, Braga, Gisela Magalhães, Queiroz, Fábio Lopes, Navarro, Túlio Pinho, Gomez, Renato Santiago","Revista da Associação Médica Brasileira; 57(5); 545-549","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000500013&lang=pt" 
"S0104-42302011000500014-scl","Fatores associados à anemia em lactentes nascidos a termo e sem baixo peso","Netto, Michele Pereira, Rocha, Daniela da Silva, Franceschini, Sylvia do Carmo Castro, Lamounier, Joel Alves","Revista da Associação Médica Brasileira; 57(5); 550-558","Revista da Associação Médica Brasileira","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000500014&lang=pt" 
