"S1852-99922011000300010-arg","Colonoscopía virtual","Seehaus, Alberto Cristian","Revista argentina de radiología; 75(3); 222-222","Revista argentina de radiología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922011000300010&lang=pt" 
"S1852-99922011000300011-arg","Venturas y desventuras del radiólogo de guardia","Fernández Sánchez, Juan","Revista argentina de radiología; 75(3); 217-221","Revista argentina de radiología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922011000300011&lang=pt" 
"S1852-99922011000300012-arg","ImaginARTE","Barousse, Rafael","Revista argentina de radiología; 75(3); 196-196","Revista argentina de radiología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922011000300012&lang=pt" 
"S0104-40602011000300017-scl","","Fernandes, Sueli","Educar em Revista; (41); 260-276","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300017&lang=pt" 
"S0104-40602011000300016-scl","Influencia de las disposiciones en el desarrollo del pensamiento crítico y el aprendizaje de las Ciencias Naturales","Merchán, Nidia Yaneth Torres","Educar em Revista; (41); 247-259","Educar em Revista","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300016&lang=pt" 
"S1134-928X2011000300005-esp","Valoración de enfermería a una persona mayor atendida en atención domiciliaria","Puig Llobet, Montserrat, Moreno Arroyo, Carmen","Gerokomos; 22(3); 118-120","Gerokomos","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-928X2011000300005&lang=pt" 
"S1575-18132011000300003-esp","Proceso de Bolonia (IV): currículo o plan de estudios","Prat-Corominas, Joan, Oriol-Bosch, Albert","Educación Médica; 14(3); 141-149","Educación Médica","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132011000300003&lang=pt" 
"S0465-546X2011000300004-esp","Influencia de los turnos de trabajo y las guardias nocturnas en la aparición del Síndrome de Burnout en médicos y enfermeras","Deschamps Perdomo, Ambar, Olivares Román, Sahilyn B., Rosa Zabala, Kelman Luis De la, Asunsolo del Barco, Ángel","Medicina y Seguridad del Trabajo; 57(224); 224-241","Medicina y Seguridad del Trabajo","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0465-546X2011000300004&lang=pt" 
"S1134-928X2011000300006-esp","Efectividad de los ácidos grasos hiperoxigenados en la prevención de las úlceras vasculares: Una revisión sistemática","Vives Sánchez, Eva, Colomina Rodríguez, Mª. Jesús, Parreño Casanova, María, López Casanova, Pablo, Verdú Soriano, José","Gerokomos; 22(3); 122-125","Gerokomos","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-928X2011000300006&lang=pt" 
"S1575-18132011000300009-esp","Los residentes en las unidades de cuidados intensivos: ¿cuál es su percepción de la formación que reciben?","Vázquez-Mata, Guillermo, Rodríguez-Elvira, Manuel, Rucabado-Aguilar, Luis, García-Alcántara, Ángel, Murillo-Cabezas, Francisco, Navarrete-Navarro, Pedro, Guillamet-Lloveras, Ana, Roca-Guiseris, Juan","Educación Médica; 14(3); 189-194","Educación Médica","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132011000300009&lang=pt" 
"S0465-546X2011000300002-esp","Abuso de alcohol en el medio laboral, factores de riesgo para el consumo, e instrumentos de valoración aplicables en la vigilancia de la salud","Ramírez Sánchez, Danna C., Marínez Barroso, Katherin A., Asúnsolo del Barco, Ángel","Medicina y Seguridad del Trabajo; 57(224); 190-209","Medicina y Seguridad del Trabajo","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0465-546X2011000300002&lang=pt" 
"S1575-18132011000300008-esp","Pase de guardia: información relevante y toma de decisiones en clínica médica: Estudio prospectivo","Vázquez, Andrea, Carlo, Graciela de, Marchetti, Pablo, Monopoli, Diego, Montico, Beatriz, Morgulis, Néstor, Río, Pedro del","Educación Médica; 14(3); 181-187","Educación Médica","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132011000300008&lang=pt" 
"S1983-51752011000300029-scl","Hematoma after augmentation mammaplasty in a patient with von Willebrand&#039;s disease","Destro, Marco Willians Baena, Rodrigues, Áurea Regina, Castro, João Lúcio Rodrigues de, Destro, Cristina, Romagnolo, Luiz Gustavo Capochin","Revista Brasileira de Cirurgia Plástica; 26(3); 538-541","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300029&lang=pt" 
"S1983-51752011000300028-scl","Transposition flap for correction of ectopic breast in Poland&#039;s syndrome using a pre-molded silicone prosthesis","Resende, José Humberto Cardoso, Feitosa, Rommel Apolinário, Cruz, Ricardo Souza","Revista Brasileira de Cirurgia Plástica; 26(3); 533-537","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300028&lang=pt" 
"S1983-51752011000300026-scl","A preoperative checklist in esthetic plastic surgery","Anger, Jaime, Letizio, Nelson, Orel, Maurício, Souza Junior, José Leão de, Santos, Márcio Martines dos","Revista Brasileira de Cirurgia Plástica; 26(3); 525-529","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300026&lang=pt" 
"S1983-51752011000300025-scl","Inclusion of calf implants for the correction of lower limb amyotrophy","Cavalcanti, Thiago de Oliveira Lopes, Pitanguy, Ivo, Ribeiro, Luiz Mário Bonfatti, Oliveira, Francisco Felipe Góis de","Revista Brasileira de Cirurgia Plástica; 26(3); 518-524","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300025&lang=pt" 
"S1983-51752011000300024-scl","Post-bariatric thighplasty: result assessment","Modolin, Miguel Luiz Antonio, Cintra Junior, Wilson, Gemperli, Rolf, Rocha, Rodrigo Itocazo, Silva, Evandro Lima e, Pares, David Fusaro da Silva, Ferreira, Marcus Castro","Revista Brasileira de Cirurgia Plástica; 26(3); 512-517","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300024&lang=pt" 
"S1983-51752011000300023-scl","Nymphoplasty: classification and technical refinements","Cunha, Fábio Inácio da, Silva, Lúcio Marques da, Costa, Laudicély de Araújo, Vasconcelos, Flávia Roberta Paes, Amaral, Giuliano Trombetta","Revista Brasileira de Cirurgia Plástica; 26(3); 507-511","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300023&lang=pt" 
"S1983-51752011000300022-scl","Assessment of vertical scar migration after classical abdominoplasty followed by lower abdominal flap fixation","Kaufmann, Paul, Prado, Luís Gustavo Moraes, Basile, Vinícius Volpe D&#039;Angieri, Mazzarone, Francesco, Pitanguy, Ivo","Revista Brasileira de Cirurgia Plástica; 26(3); 502-506","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300022&lang=pt" 
"S1983-51752011000300021-scl","Triangular umbilicoplasty with skin flap","Pereira, João Francisco do Valle, Schutz, Luciano Vargas, Kostic, Velibor, D&#039;Avila, Conrado Luiz Pais, Mateus, Felipe Nascimento","Revista Brasileira de Cirurgia Plástica; 26(3); 496-501","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300021&lang=pt" 
