"S0004-282X2011000500031-scl","Supratentorial tanycytic ependymoma: an uncommon fibrillary ependymoma variant","Reis, Fabiano, Schwingel, Ricardo, Morais, Francisco Carlos de, Queiroz, Luciano de Souza","Arquivos de Neuro-Psiquiatria; 69(4); 723-723","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000500031&lang=pt" 
"S0004-282X2011000500032-scl","Hyperintense basal ganglia on MR imaging in hematopoietic stem cell transplantation recipient","Lima, Plínio M.G. de, Piazera, Flávia Z., Bitencourt, Marco A., Nunes, Elenaide C., Morando, Juliane, Fortier, Sérgio C., Koliski, Adriana, Pasquini, Ricardo, Zavala, Jorge, Teive, Hélio A.G.","Arquivos de Neuro-Psiquiatria; 69(4); 724-724","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000500032&lang=pt" 
"S0004-282X2011000500033-scl","Lumbar mass as the presentation form of a tuberculous spondylodiscitis","Barbosa, Marcílio Diogo de Oliveira, Silva, Rodrigo Sodré Calheiros da, Garcia, Flávio Assad, Acioly, Marcus André","Arquivos de Neuro-Psiquiatria; 69(4); 725-725","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000500033&lang=pt" 
"S1519-69842011000400001-scl","Population parameters of the endangered titi monkey, Callicebus coimbrai Kobayashi and Langguth, 1999, in the fragmented landscape of southern Sergipe, Brazil","Chagas, RRD., Ferrari, SF.","Brazilian Journal of Biology; 71(3); 569-575","Brazilian Journal of Biology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000400001&lang=pt" 
"S1519-69842011000400007-scl","A new occurrence of Anodontites tenebricosus (Bivalvia: Mycetopodidae) in the Sapucaí river basin, São Paulo, Brazil: environmental and conchological aspects","Troncon, EK., Avelar, WEP","Brazilian Journal of Biology; 71(3); 629-634","Brazilian Journal of Biology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000400007&lang=pt" 
"S1519-69842011000400006-scl","Ectoparasites as numerical dominant species in parasite community of Trachelyopterus striatulus (Siluriformes: Auchenipteridae) from Guandu River, southeastern Brazil","Mesquita, RLB., Azevedo, RK., Abdallah, VD., Luque, JL.","Brazilian Journal of Biology; 71(3); 623-627","Brazilian Journal of Biology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000400006&lang=pt" 
"S1519-69842011000400010-scl","Assessment and management of white mullet Mugil curema (Valencienne, 1836) (Mugilidae) fisheries of the south coast of São Paulo state, Brazil","Mendonça, JT., Bonfante, TM.","Brazilian Journal of Biology; 71(3); 663-672","Brazilian Journal of Biology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000400010&lang=pt" 
"S1519-69842011000400017-scl","Seasonal influence on the hematological parameters in cultured Nile tilapia from southern Brazil","Jerônimo, GT., Laffitte, LV., Speck, GM., Martins, ML.","Brazilian Journal of Biology; 71(3); 719-725","Brazilian Journal of Biology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000400017&lang=pt" 
"S1519-69842011000400021-scl","Development of Loxosceles intermedia Mello-Leitão (1934) (Araneae, Sicariidae) genital tract","Margraf, A., Costa-Ayub, CLS., Okada, MA., Gomes, JR., Ortolani-Machado, CF., Soares, MAM.","Brazilian Journal of Biology; 71(3); 747-754","Brazilian Journal of Biology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000400021&lang=pt" 
"S1519-69842011000400019-scl","First occurrence of Protapanteles (Protapanteles) enephes (Nixon, 1965) (Hymenoptera, Braconidae, Microgastrinae) in Brazil and new biological data","Penteado-Dias, AM., Fernandes, LBR., Iemma, LGR., Dias, MM.","Brazilian Journal of Biology; 71(3); 735-738","Brazilian Journal of Biology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000400019&lang=pt" 
"S1519-69842011000400027-scl","Occurrence of abnormalities on labral keel of Coronatella monacantha (Cladocera, Anomopoda, Chydoridae) in a population from Ceará, Brazil","Sousa, FDR., Elmoor-Loureiro, LMA., Souza, MBG.","Brazilian Journal of Biology; 71(3); 797-798","Brazilian Journal of Biology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000400027&lang=pt" 
"S1519-69842011000400025-scl","Acetylcholinesterase inhibition by somes promising Brazilian medicinal plants","Feitosa, CM., Freitas, RM., Luz, NNN., Bezerra, MZB., Trevisan, MTS.","Brazilian Journal of Biology; 71(3); 783-789","Brazilian Journal of Biology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000400025&lang=pt" 
"S1519-69842011000400026-scl","Parasite diversity in Oxydoras niger (Osteichthyes: Doradidae) from the basin of Solimões River, Amazonas state, Brazil, and the relationship between monogenoidean and condition factor","Silva, AMO., Tavares-Dias, M., Jerônimo, GT., Martins, ML.","Brazilian Journal of Biology; 71(3); 791-796","Brazilian Journal of Biology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000400026&lang=pt" 
"S1519-69842011000400008-scl","Effects of flow reduction and spillways on the composition and structure of benthic macroinvertebrate communities in a Brazilian river reach","Maroneze, DM., Tupinambás, TH., França, JS., Callisto, M.","Brazilian Journal of Biology; 71(3); 639-651","Brazilian Journal of Biology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000400008&lang=pt" 
"S0004-282X2011000500002-scl","The Pietà study: epidemiological investigation on successful brain aging in Caeté (MG), Brazil. Methods and baseline cohort characteristics","Caramelli, Paulo, Barbosa, Maira Tonidandel, Sakurai, Emília, Santos, Etelvina Lucas dos, Beato, Rogério Gomes, Machado, João Carlos Barbosa, Guimarães, Henrique Cerqueira, Teixeira, Antonio Lucio","Arquivos de Neuro-Psiquiatria; 69(4); 579-584","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000500002&lang=pt" 
"S0004-282X2011000500003-scl","Impact of obstructive sleep apnea on cognitive performance","Bawden, Felipe Cunha, Oliveira, Cristiane Assis, Caramelli, Paulo","Arquivos de Neuro-Psiquiatria; 69(4); 585-589","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000500003&lang=pt" 
"S0004-282X2011000500004-scl","Different cognitive profiles of Brazilian patients with relapsing-remitting and primary progressive multiple sclerosis","Rodrigues, Dóra-Neide, Paes, Renata Alves, Vasconcelos, Claudia Cristina Ferreira, Landeira-Fernandez, Jesus, Alvarenga, Maria Papais","Arquivos de Neuro-Psiquiatria; 69(4); 590-595","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000500004&lang=pt" 
"S0004-282X2011000500005-scl","Cognitive impairments in patients with low grade gliomas and high grade gliomas","Miotto, Eliane C., Silva Junior, Aluizio, Silva, Clemar Corrêa, Cabrera, Hector Navarro, Machado, Melissa A.R., Benute, Glaucia R.G., Lucia, Mara C.S., Scaff, Milberto, Teixeira, Manoel Jacobsen","Arquivos de Neuro-Psiquiatria; 69(4); 596-601","Arquivos de Neuro-Psiquiatria","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2011000500005&lang=pt" 
