"S1699-65852011000200004-esp","Influencia de la aspirina sobre el sangrado al sondaje","Ardila Medina, C.M.","Avances en Periodoncia e Implantología Oral; 23(2); 109-112","Avances en Periodoncia e Implantología Oral","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-65852011000200004&lang=pt" 
"S1699-65852011000200006-esp","Estado periodontal y de la mucosa oral en un grupo de embarazadas: Estudio clínico","Lacalzada-Pastor, M., Gil-Samaniego, J., Giménez-Juncosa, M., López-López, J., Chimenos-Küstner, E.","Avances en Periodoncia e Implantología Oral; 23(2); 123-128","Avances en Periodoncia e Implantología Oral","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-65852011000200006&lang=pt" 
"S1699-65852011000200002-esp","Colgajo de reposición apical","Pérez-Salcedo, L., Bascones Martínez, A.","Avances en Periodoncia e Implantología Oral; 23(2); 91-96","Avances en Periodoncia e Implantología Oral","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-65852011000200002&lang=pt" 
"S1699-65852011000200007-esp","Restauraciones estéticas implanto soportadas: principios biológicos y clínicos","Ardila Medina, C.M.","Avances en Periodoncia e Implantología Oral; 23(2); 129-135","Avances en Periodoncia e Implantología Oral","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1699-65852011000200007&lang=pt" 
"S0102-86502011000400001-scl","Expanded polytetrafluoroethylene in canine bile duct injury: a critical analysis","Schanaider, Alberto, Pannain, Vera Lucia Nunes, Müller, Lucas Cristo Conilho Macedo, Maya, Maria Cristina Araújo","Acta Cirurgica Brasileira; 26(4); 247-252","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000400001&lang=pt" 
"S0102-86502011000400003-scl","Histomorphometric analysis of bone tissue repair in rabbits after insertion of titanium screws under different torque","Togni, Fabrício, Baras, Fabíola, Ribas, Marina de Oliveira, Taha, Murched Omar","Acta Cirurgica Brasileira; 26(4); 261-266","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000400003&lang=pt" 
"S0102-86502011000400004-scl","Protocols for obtainment and isolation of two mesenchymal stem cell sources in sheep","Fadel, Leandro, Viana, Brunno Rosa, Feitosa, Matheus Levi Tajra, Ercolin, Anna Caroline Mazeto, Roballo, Kelly Cristine Santos, Casals, Juliana Barbosa, Pieri, Naira Caroline Godoy, Meirelles, Flávio Vieira, Martins, Daniele dos Santos, Miglino, Maria Angélica, Ambrósio, Carlos Eduardo","Acta Cirurgica Brasileira; 26(4); 267-273","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000400004&lang=pt" 
"S0102-86502011000400005-scl","Histological and radiological changes in cranial bone in the presence of bone wax","Raposo-Amaral, Cassio Eduardo, Almeida, Ana Beatriz Albino de, Paschoal, Gustavo, Bueno, Daniela Franco, Vulcano, Luiz Carlos, Passos-Bueno, Maria Rita, Alonso, Nivaldo","Acta Cirurgica Brasileira; 26(4); 274-278","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000400005&lang=pt" 
"S0102-86502011000400006-scl","Effects of carbon dioxide pneumoperitoneum on hepatic and renal morphology of rats after segmental colectomy and colonic anastomosis","Farias, Igor Eduardo Caetano, Morais, Pedro Henrique Alves de, Durães, Leonardo de Castro, Carneiro, Fabiana Pirani, Oliveira, Paulo Gonçalves de, Sousa, João Batista de","Acta Cirurgica Brasileira; 26(4); 279-284","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000400006&lang=pt" 
"S0102-86502011000400007-scl","Ischemia-reperfusion histopathology alterations of the rabbit intestinal wall with and without ischemic preconditioning","Gomes, Otoni Moreira, Brasileiro Filho, Geraldo, Salles, Rodrigo Lolli Almeida, Linhares, Rafaela Ervilha, Nazar, Maria Cristina, Porto, Luiz Alberto Bonjardim, Paixão, Rafael de Mattos, Miranda, Marcelo Heller","Acta Cirurgica Brasileira; 26(4); 285-288","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000400007&lang=pt" 
"S0102-86502011000400009-scl","Does metoclopramide impair anastomotic healing of the left colon of rats?","Silva, Silvana Marques e, Ferreira, Vânia Maria Moraes, Feres, Omar, Oliveira, Paulo Gonçalves de, Sousa, João Batista de","Acta Cirurgica Brasileira; 26(4); 297-302","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000400009&lang=pt" 
"S0102-86502011000400010-scl","Perioperative effects of oral midazolam premedication in children undergoing skin laser treatment: a double-blinded randomized placebo-controlled trial","Shoroghi, Mehrdad, Arbabi, Shahriyar, Farahbakhsh, Farshid, Sheikhvatan, Mehrdad, Abbasi, Ali","Acta Cirurgica Brasileira; 26(4); 303-309","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000400010&lang=pt" 
"S0102-86502011000400013-scl","Inflammatory and oxidative stress after surgery for the small area corrections of burn sequelae","Vinha, Paula Pileggi, Jordão Jr, Alceu Afonso, Farina Jr, Jayme Adriano, Vannucchi, Helio, Marchini, Júlio Sérgio, Cunha, Selma Freire de Carvalho da","Acta Cirurgica Brasileira; 26(4); 320-324","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000400013&lang=pt" 
"S0210-48062011000700004-esp","El artefacto de centelleo en la caracterización de los cálculos urinarios","Alan, C., Koçoglu, H., Kosar, S., Karatag, O., Resit Ersay, A., Erhan, A.","Actas Urológicas Españolas; 35(7); 396-402","Actas Urológicas Españolas","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062011000700004&lang=pt" 
"S0210-48062011000700007-esp","Cambios en la densidad mineral ósea: comparación entre pacientes de cáncer de próstata con o sin metástasis y varones sanos (grupo étnico norteafricano)","Janane, A., Hajji, F., Ismail, T., Jawad, C., Crepin-Elondo, J., Ghadouane, M., Ameur, A., Abbar, M., Albouzidi, A.","Actas Urológicas Españolas; 35(7); 414-419","Actas Urológicas Españolas","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062011000700007&lang=pt" 
"S0210-48062011000700003-esp","Comentario a: «Causas, características y evolución a medio plazo de la retención aguda de orina en las mujeres remitidas a una Unidad de Urodinámica»","Prieto, L.","Actas Urológicas Españolas; 35(7); 394-395","Actas Urológicas Españolas","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062011000700003&lang=pt" 
"S0210-48062011000700009-esp","Toxina botulínica en el fracaso del cierre de derivaciones urinarias altas","Parente, A., Angulo, J.M., Romero, R.M., Rivas, S., Corona, C., Tardáguila, A.R.","Actas Urológicas Españolas; 35(7); 429-433","Actas Urológicas Españolas","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062011000700009&lang=pt" 
