"S0066-782X2011001100007-scl","Validade das equações preditivas da frequência cardíaca máxima para crianças e adolescentes","Machado, Fabiana Andrade, Denadai, Benedito Sérgio","Arquivos Brasileiros de Cardiologia; 97(2); 136-140","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2011001100007&lang=pt" 
"S0066-782X2011001100018-scl","Pôster: uma prática a ser revista!","Beck-da-Silva, Luís, Rohde, Luís Eduardo","Arquivos Brasileiros de Cardiologia; 97(2); e37-e38","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2011001100018&lang=pt" 
"S0066-782X2011001100014-scl","Estamos preparados para avaliar atletas jovens?","Solimene, Maria Cecília, Grinberg, Max","Arquivos Brasileiros de Cardiologia; 97(2); 181-182","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2011001100014&lang=pt" 
"S0066-782X2011001100013-scl","Riscos cardiovasculares em adolescentes com diferentes graus de obesidade","Torres, Kerginaldo Paulo, Torres, Samara Gomes, Guerra, Ricardo Oliveira","Arquivos Brasileiros de Cardiologia; 97(2); 179-180","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2011001100013&lang=pt" 
"S0066-782X2011001100001-scl","Obesidade e resistência a insulina: &quot;janela&quot; para a disfunção miocárdica","Liberman, Marcel","Arquivos Brasileiros de Cardiologia; 97(2); 92-93","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2011001100001&lang=pt" 
"S0066-782X2011001100016-scl","Truncus arteriosus operado aos 28 anos: importância do diagnóstico diferencial","Lopes, Lilian Maria, Silva, Jose Pedro da, Fonseca, Luciana da, Meiken, Sonia, Salvador, André Bavaresco Cristóvão, Fernandes, Gustavo Spadaccia dos Santos","Arquivos Brasileiros de Cardiologia; 97(2); e29-e32","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2011001100016&lang=pt" 
"S0066-782X2011001100019-scl","Prótese de Amplatzer para fechamento de forame oval pérveo: visão por ecocardiografia tridimensional","Vieira, Marcelo Luiz Campos, Pedra, Carlos A.","Arquivos Brasileiros de Cardiologia; 97(2); e39-e39","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2011001100019&lang=pt" 
"S0004-27302011000600006-scl","Avaliação do consumo de uma baixa quantidade diária de soja no estresse oxidativo, no perfil lipídico e inflamatório e na resistência à insulina em pacientes com síndrome metabólica","Bahls, Larissa Danielle, Venturini, Danielle, Scripes, Nicole de Angelis, Lozovoy, Marcell Alysson Batisti, Simão, Tathiana Name Colado, Simão, Andréa Name Colado, Dichi, Isaias, Morimoto, Helena Kaminami","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 55(6); 399-405","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302011000600006&lang=pt" 
"S1413-65382011000400004-scl","Procedimentos e recursos de ensino para o aluno com deficiência: o que tem sido disseminado nos trabalhos do GT 15 da ANPED sobre estes temas?","Nunes, Leila Regina d&#039;Oliveira de Paula, Braun, Patrícia, Walter, Cátia Crivelenti de Figueiredo","Revista Brasileira de Educação Especial; 17(spe1); 23-40","Revista Brasileira de Educação Especial","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382011000400004&lang=pt" 
"S1130-14732011000400007-esp","","Martínez-Lage, J.F.","Neurocirugía; 22(4); 348-350","Neurocirugía","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732011000400007&lang=pt" 
"S1130-14732011000400002-esp","Utilidad de la monitorización de la PIC en pacientes con sospecha de disfunción valvular","Horcajadas, A., Román, A., Olivares, G., Saura, E., Jorques, A., Cordero, N., Ibáñez, B., Sánchez, C., Roldán, M.A.","Neurocirugía; 22(4); 310-323","Neurocirugía","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732011000400002&lang=pt" 
"S1130-14732011000400006-esp","Meningocele sacro anterior oculto","Antuña-Ramos, A., García-Fructuoso, G., Alamar-Abril, M., Guillén-Quesada, A., Costa-Clara, J.M.","Neurocirugía; 22(4); 342-346","Neurocirugía","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732011000400006&lang=pt" 
"S0100-736X2011000800002-scl","Calcinose enzoótica em ruminantes no Brasil Central","Guedes, Karla M.R., Colodel, Edson M., Castro, Márcio B., Souza, Marcos A., Arruda, Laura P., Dianezi, Daniela M., Borges, José Renato J., Riet-Correa, Franklin","Pesquisa Veterinária Brasileira; 31(8); 643-648","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800002&lang=pt" 
"S1130-14732011000400004-esp","Hematoma epidural cervical yatrogénico: Presentación de un caso clínico y revisión de la literatura","Jusué-Torres, I., Ortega-Zufiria, J.M., Tamarit-Degenhardt, M., Navarro Torres, R., López-Serrano, R., Riqué-Dormido, J., Aragonés-Cabrerizo, P., Gómez-Angulo, J.C., Poveda-Nuñez, P., Jerez-Fernández, P., Pozo-García, J. M. del","Neurocirugía; 22(4); 332-336","Neurocirugía","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732011000400004&lang=pt" 
"S0100-736X2011000800001-scl","Infecção por leptospiras em ovinos e caracterização da resposta inflamatória renal","Carvalho, Sônia Maria de, Gonçalves, Larissa Maria Feitosa, Macedo, Nicodemos Alves de, Goto, Hiro, Silva, Silvana Maria Medeiros de Sousa, Mineiro, Ana Lys Bezerra Barradas, Kanashiro, Edite Hatsumi Yamashiro, Costa, Francisco Assis Lima","Pesquisa Veterinária Brasileira; 31(8); 637-642","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800001&lang=pt" 
"S0100-736X2011000800004-scl","Effects of zearalenone in prepubertal gilts","Teixeira, Letícia C., Montiani-Ferreira, Fabiano, Locatelli-Dittrich, Rosângela, Santin, Elizabeth, Alberton, Geraldo C.","Pesquisa Veterinária Brasileira; 31(8); 656-662","Pesquisa Veterinária Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800004&lang=pt" 
"S0100-736X2011000800007-scl","Perfil de resistência a antimicrobianos de Staphylococcus spp. isolados de frangos de corte e poedeiras comerciais no estado de Pernambuco","Barros, Mércia R., Costa, Mateus M. da, França, Chirles A. de, Saukas, Tomoe N., Silva, Leonildo B.G. da, Silva, Vanessa Anny S., Cavalcante, Raíssa V., Mota, Rinaldo A.","Pesquisa Veterinária Brasileira; 31(8); 672-676","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800007&lang=pt" 
"S1130-14732011000400001-esp","Manejo y tratamiento microquirúrgico de las dilataciones infundibulares de la arteria comunicante posterior: Serie de nueve casos y revisión de la literatura","González-Darder, J. M., Verdú-López, F., Quilis-Quesada, V.","Neurocirugía; 22(4); 301-309","Neurocirugía","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732011000400001&lang=pt" 
